Gene_name	CDS_length
Cflo_12079--XP_001122113.1_APIME	1619
Cflo_12989--NA	578
Cflo_12883--NA	504
Cflo_12537--NA	420
Cflo_12885--NA	696
Cflo_13722--NA	891
Cflo_00054--XP_001604811.1_NASVI	1519
Cflo_00058--NA	2123
Cflo_00066--XP_624371.1_APIME	1643
Cflo_00073--NA	1049
Cflo_00074--NA	860
Cflo_00098--NA	842
Cflo_00099--NA	1425
Cflo_00100--NA	793
Cflo_00103--NA	1734
Cflo_00104--NA	1000
Cflo_00037--NA	534
Cflo_00039--NA	466
Cflo_00041--BGIBMGA006248-PA_BOMMO	1655
Cflo_01324--NA	706
Cflo_01326--NA	687
Cflo_01328--NA	833
Cflo_01329--NA	1064
Cflo_01333--NA	324
Cflo_01336--NA	461
Cflo_01296--NA	1583
Cflo_01341--NA	905
Cflo_01344--NA	381
Cflo_01347--NA	781
Cflo_01303--NA	2123
Cflo_01319--XP_393833.3_APIME	744
Cflo_01321--NA	1108
Cflo_01323--NA	1020
Cflo_01461--NA	363
Cflo_01462--NA	878
Cflo_01463--NA	1260
Cflo_01438--NA	753
Cflo_01464--XP_001120330.1_APIME	838
Cflo_01468--NA	561
Cflo_01471--NA	573
Cflo_01472--NA	746
Cflo_01444--NA	621
Cflo_01436--NA	448
Cflo_01445--NA	905
Cflo_01437--NA	767
Cflo_01447--NA	1112
Cflo_01448--NA	1236
Cflo_02093--NA	1134
Cflo_02804--NA	1336
Cflo_02809--NA	438
Cflo_03240--XP_393111.3_APIME	1676
Cflo_03247--NA	546
Cflo_03209--NA	1013
Cflo_03235--NA	583
Cflo_03208--NA	1072
Cflo_03108--NA	1080
Cflo_03122--NA	2850
Cflo_03634--NA	1016
Cflo_03639--NA	1121
Cflo_03630--NA	577
Cflo_03646--NA	1969
Cflo_03650--NA	1378
Cflo_03651--NA	1568
Cflo_04621--NA	1460
Cflo_04634--NA	1011
Cflo_04637--NA	614
Cflo_04638--NA	348
Cflo_04640--NA	1349
Cflo_04642--NA	817
Cflo_04823--NA	443
Cflo_04808--NA	882
Cflo_04826--NA	605
Cflo_04829--XP_397003.3_APIME	2452
Cflo_05191--NA	833
Cflo_05193--NA	753
Cflo_04855--NA	863
Cflo_04867--XP_394560.1_APIME	1171
Cflo_06636--NA	1414
Cflo_06637--NA	1481
Cflo_06642--XP_001604081.1_NASVI	2530
Cflo_04909--NA	472
Cflo_05555--NA	1223
Cflo_06897--NA	941
Cflo_06899--NA	540
Cflo_06900--NA	486
Cflo_06905--NA	2120
Cflo_06906--NA	837
Cflo_06907--NA	853
Cflo_06909--XP_623773.1_APIME	1512
Cflo_07413--NA	2209
Cflo_07411--NA	920
Cflo_07539--NA	680
Cflo_07543--NA	1210
Cflo_08608--NA	1238
Cflo_07123--NA	489
Cflo_09940--NA	1203
Cflo_09942--NA	842
Cflo_08941--XP_001600701.1_NASVI	1099
Cflo_09340--NA	2977
Cflo_10258--NA	962
Cflo_10259--XP_001121857.1_APIME	2432
Cflo_11323--NA	1132
Cflo_10724--NA	919
Cflo_10722--NA	845
Cflo_10697--NA	643
Cflo_10698--NA	1075
Cflo_10699--XP_395361.3_APIME	1687
Cflo_10696--NA	1354
Cflo_11039--NA	823
Cflo_11898--NA	691
Cflo_10211--NA	513
Cflo_11134--NA	913
Cflo_12217--NA	1221
Cflo_12219--NA	617
Cflo_11542--NA	1273
Cflo_12900--NA	1234
Cflo_13498--NA	891
Cflo_13674--XP_394220.1_APIME	389
Cflo_14471--NA	1195
Cflo_12967--NA	1336
Cflo_14640--NA	420
Cflo_00325--NA	599
Cflo_00326--NA	976
Cflo_00327--NA	949
Cflo_00329--NA	346
Cflo_00331--NA	1839
Cflo_00336--NA	322
Cflo_00313--NA	366
Cflo_00359--NA	1659
Cflo_00360--NA	1407
Cflo_00363--NA	512
Cflo_00367--NA	1367
Cflo_00368--NA	829
Cflo_00370--NA	436
Cflo_00371--NA	758
Cflo_00372--NA	795
Cflo_01177--NA	1100
Cflo_02190--NA	1147
Cflo_02192--NA	983
Cflo_02200--NA	925
Cflo_02208--NA	805
Cflo_02146--NA	813
Cflo_02252--NA	1321
Cflo_02253--NA	389
Cflo_02261--NA	899
Cflo_02263--NA	1145
Cflo_02230--NA	1676
Cflo_02232--NA	1573
Cflo_02641--NA	1095
Cflo_02642--NA	514
Cflo_03660--BGIBMGA012042-PA_BOMMO	1955
Cflo_03673--FBpp0076463_DROME	2307
Cflo_03890--XP_001121913.1_APIME	1208
Cflo_03894--NA	4019
Cflo_03900--NA	211
Cflo_06085--NA	805
Cflo_06093--NA	476
Cflo_06094--NA	608
Cflo_06097--NA	591
Cflo_04946--NA	1496
Cflo_06117--NA	849
Cflo_06118--NA	579
Cflo_06120--NA	456
Cflo_06733--NA	461
Cflo_06744--NA	1388
Cflo_06751--NA	957
Cflo_06301--NA	1069
Cflo_06311--NA	558
Cflo_06312--NA	754
Cflo_06315--NA	309
Cflo_06316--NA	576
Cflo_06594--NA	1494
Cflo_06862--NA	1027
Cflo_06548--NA	1127
Cflo_08397--XP_623850.2_APIME	800
Cflo_08400--NA	1299
Cflo_08381--NA	806
Cflo_08386--NA	261
Cflo_08893--NA	715
Cflo_08907--NA	566
Cflo_10153--NA	896
Cflo_10151--NA	681
Cflo_08924--NA	966
Cflo_09881--NA	905
Cflo_09878--NA	363
Cflo_10183--FBpp0099771_DROME	1032
Cflo_10186--NA	337
Cflo_10584--NA	1118
Cflo_10583--NA	1723
Cflo_10966--NA	243
Cflo_12353--XP_001949009.1_ACYPI	744
Cflo_12347--NA	658
Cflo_12348--NA	499
Cflo_11594--NA	348
Cflo_12069--NA	681
Cflo_13507--NA	1182
Cflo_12423--XP_001601094.1_NASVI	1828
Cflo_13377--XP_624706.1_APIME	675
Cflo_13007--NA	619
Cflo_13886--NA	616
Cflo_13835--NA	843
Cflo_13993--NA	451
Cflo_14003--NA	436
Cflo_14202--NA	794
Cflo_00383--NA	603
Cflo_00425--NA	770
Cflo_00426--NA	1048
Cflo_00428--NA	1125
Cflo_00437--NA	910
Cflo_00384--NA	618
Cflo_00438--NA	1034
Cflo_00442--NA	902
Cflo_00386--NA	1121
Cflo_00387--NA	770
Cflo_00388--NA	1202
Cflo_00390--NA	733
Cflo_00395--NA	465
Cflo_00396--NA	1330
Cflo_00397--NA	465
Cflo_01501--NA	989
Cflo_01503--NA	336
Cflo_01519--NA	336
Cflo_01484--NA	1263
Cflo_01485--NA	2055
Cflo_01487--NA	877
Cflo_01721--NA	606
Cflo_01740--NA	553
Cflo_01702--NA	856
Cflo_01705--NA	941
Cflo_02977--NA	295
Cflo_02932--NA	577
Cflo_02942--XP_001121864.1_APIME	1091
Cflo_02973--XP_624162.1_APIME	1462
Cflo_02975--NA	1940
Cflo_03020--NA	1522
Cflo_02993--NA	840
Cflo_02994--NA	719
Cflo_02998--NA	330
Cflo_02860--NA	2153
Cflo_02829--NA	450
Cflo_02836--NA	698
Cflo_03319--NA	2502
Cflo_03338--XP_397110.3_APIME	1554
Cflo_03339--NA	637
Cflo_03323--NA	727
Cflo_04515--NA	1398
Cflo_04197--NA	1060
Cflo_04191--XP_001120165.1_APIME	1595
Cflo_04193--NA	747
Cflo_05937--NA	837
Cflo_05940--XP_394132.3_APIME	926
Cflo_05944--XP_397461.2_APIME	448
Cflo_05252--NA	267
Cflo_05253--NA	1847
Cflo_05261--NA	855
Cflo_07703--NA	431
Cflo_07704--NA	1698
Cflo_07706--NA	558
Cflo_07708--NA	604
Cflo_07709--NA	686
Cflo_05714--NA	2013
Cflo_05722--NA	241
Cflo_05729--NA	936
Cflo_05950--XP_394081.2_APIME	1685
Cflo_05954--XP_001121080.1_APIME	1451
Cflo_06882--NA	423
Cflo_06874--NA	1309
Cflo_06883--NA	1272
Cflo_06884--NA	687
Cflo_07094--NA	544
Cflo_08201--NA	374
Cflo_08203--NA	549
Cflo_08204--NA	797
Cflo_08716--NA	748
Cflo_10213--NA	624
Cflo_10214--NA	413
Cflo_10121--NA	759
Cflo_09587--NA	684
Cflo_09588--NA	788
Cflo_10595--XP_396942.3_APIME	1305
Cflo_11561--NA	340
Cflo_11395--NA	574
Cflo_12279--NA	387
Cflo_12283--NA	705
Cflo_12284--NA	1012
Cflo_11131--XP_393389.2_APIME	511
Cflo_11948--NA	711
Cflo_11287--NA	904
Cflo_11614--NA	1943
Cflo_13345--NA	388
Cflo_13070--NA	663
Cflo_14115--NA	320
Cflo_14481--NA	1326
Cflo_14493--NA	590
Cflo_14732--NA	394
Cflo_00478--NA	504
Cflo_00484--NA	579
Cflo_00497--NA	707
Cflo_00520--NA	1406
Cflo_00522--NA	790
Cflo_00523--NA	372
Cflo_00524--NA	1428
Cflo_00530--NA	815
Cflo_00475--NA	1044
Cflo_01410--NA	1974
Cflo_01413--XP_394494.3_APIME	1570
Cflo_01417--NA	865
Cflo_01430--NA	832
Cflo_01431--NA	734
Cflo_01383--NA	3857
Cflo_02412--NA	822
Cflo_02384--XP_394194.3_APIME	1456
Cflo_02387--NA	1131
Cflo_02389--NA	792
Cflo_02390--NA	884
Cflo_02391--NA	1601
Cflo_02365--NA	646
Cflo_02347--NA	868
Cflo_02348--NA	768
Cflo_02683--NA	907
Cflo_02687--NA	465
Cflo_02689--NA	1203
Cflo_03568--NA	698
Cflo_03569--XP_396796.2_APIME	914
Cflo_03448--NA	877
Cflo_03467--NA	865
Cflo_05068--NA	644
Cflo_05673--NA	1238
Cflo_05669--NA	1034
Cflo_05677--NA	788
Cflo_05678--NA	936
Cflo_05670--NA	725
Cflo_05671--NA	669
Cflo_04846--NA	622
Cflo_04847--NA	967
Cflo_04848--NA	325
Cflo_04850--NA	984
Cflo_04851--NA	802
Cflo_06004--NA	580
Cflo_06484--NA	1628
Cflo_06398--NA	734
Cflo_06400--NA	582
Cflo_06401--NA	668
Cflo_06850--NA	451
Cflo_06852--NA	1679
Cflo_05470--NA	1797
Cflo_05477--NA	395
Cflo_07456--NA	1018
Cflo_07505--NA	1309
Cflo_07878--NA	994
Cflo_07879--NA	801
Cflo_08975--XP_396380.2_APIME	987
Cflo_08513--NA	547
Cflo_08516--NA	1223
Cflo_10023--NA	1012
Cflo_10403--NA	568
Cflo_11279--XP_624262.2_APIME	1114
Cflo_12086--NA	1417
Cflo_12753--NA	617
Cflo_12956--NA	1003
Cflo_13204--NA	559
Cflo_12952--XP_001120154.1_APIME	910
Cflo_14629--NA	315
Cflo_15358--NA	610
Cflo_15080--NA	764
Cflo_00579--NA	1162
Cflo_00595--NA	1575
Cflo_00598--NA	536
Cflo_00599--NA	2097
Cflo_00601--NA	506
Cflo_00602--NA	533
Cflo_00616--NA	1397
Cflo_00617--NA	549
Cflo_00621--NA	573
Cflo_00624--NA	492
Cflo_00625--XP_392427.3_APIME	584
Cflo_00627--NA	2688
Cflo_00576--NA	662
Cflo_00578--NA	960
Cflo_01579--NA	521
Cflo_01615--NA	1083
Cflo_01618--XP_001121453.1_APIME	1379
Cflo_01937--NA	795
Cflo_01938--NA	1157
Cflo_01943--NA	1710
Cflo_01944--NA	1540
Cflo_01893--NA	440
Cflo_04085--NA	364
Cflo_04088--NA	863
Cflo_04090--NA	1006
Cflo_03354--NA	935
Cflo_03348--NA	451
Cflo_03349--NA	441
Cflo_04261--XP_391874.3_APIME	928
Cflo_03476--NA	985
Cflo_03502--NA	876
Cflo_05643--NA	480
Cflo_05667--NA	2169
Cflo_05668--NA	751
Cflo_05698--NA	1059
Cflo_05701--NA	969
Cflo_05704--NA	1165
Cflo_05706--NA	1711
Cflo_07355--NA	525
Cflo_06363--XP_623850.2_APIME	2706
Cflo_06364--NA	411
Cflo_06815--NA	496
Cflo_07364--NA	1163
Cflo_07371--NA	645
Cflo_07372--NA	1236
Cflo_08998--NA	553
Cflo_08354--NA	858
Cflo_08355--NA	369
Cflo_08813--NA	385
Cflo_08789--NA	280
Cflo_09047--NA	824
Cflo_10297--NA	490
Cflo_10302--NA	933
Cflo_10305--NA	2007
Cflo_09723--NA	413
Cflo_09690--NA	1234
Cflo_09226--NA	1224
Cflo_10311--NA	818
Cflo_10810--NA	500
Cflo_10157--NA	610
Cflo_11577--NA	460
Cflo_10393--NA	1128
Cflo_10394--NA	501
Cflo_11270--NA	809
Cflo_11659--XP_001121042.1_APIME	3509
Cflo_11652--XP_001121042.1_APIME	1821
Cflo_11755--XP_395426.3_APIME	1296
Cflo_11727--XP_001120340.1_APIME	784
Cflo_11803--NA	766
Cflo_11805--NA	1003
Cflo_11944--NA	846
Cflo_11972--NA	467
Cflo_13701--NA	1740
Cflo_13972--NA	468
Cflo_13026--NA	663
Cflo_13727--NA	499
Cflo_14006--NA	996
Cflo_00664--NA	589
Cflo_00665--NA	751
Cflo_00667--NA	729
Cflo_00681--NA	714
Cflo_00729--NA	376
Cflo_01680--NA	786
Cflo_01654--NA	488
Cflo_01655--NA	855
Cflo_01656--NA	714
Cflo_01658--NA	874
Cflo_01659--NA	612
Cflo_01661--NA	1293
Cflo_01663--NA	828
Cflo_01665--NA	558
Cflo_01666--NA	1175
Cflo_02594--NA	498
Cflo_02600--NA	867
Cflo_02602--NA	970
Cflo_02604--NA	1224
Cflo_02575--NA	423
Cflo_02577--NA	860
Cflo_02904--NA	1508
Cflo_02907--NA	1676
Cflo_03624--NA	1146
Cflo_03606--NA	527
Cflo_03947--NA	620
Cflo_03920--NA	376
Cflo_03929--NA	2553
Cflo_03930--NA	988
Cflo_04034--NA	802
Cflo_04054--NA	950
Cflo_04200--NA	916
Cflo_04208--NA	1942
Cflo_05365--NA	418
Cflo_05872--NA	871
Cflo_05392--NA	1281
Cflo_05393--NA	345
Cflo_05395--XP_001120645.1_APIME	962
Cflo_05408--XP_001119920.1_APIME	1688
Cflo_05420--NA	657
Cflo_06214--NA	993
Cflo_06217--NA	976
Cflo_06220--NA	723
Cflo_06189--NA	1024
Cflo_06190--NA	574
Cflo_06717--NA	643
Cflo_08307--NA	1336
Cflo_08308--NA	632
Cflo_08182--NA	1122
Cflo_08179--NA	349
Cflo_09027--NA	1088
Cflo_09028--NA	381
Cflo_09215--NA	610
Cflo_09217--NA	533
Cflo_09218--NA	1214
Cflo_09411--NA	1004
Cflo_09413--NA	2134
Cflo_08572--NA	719
Cflo_09109--NA	1830
Cflo_09013--NA	1030
Cflo_08607--NA	614
Cflo_08934--NA	1833
Cflo_10876--NA	528
Cflo_11818--NA	333
Cflo_11822--NA	558
Cflo_10822--NA	1155
Cflo_10824--NA	654
Cflo_13392--NA	741
Cflo_13362--XP_001605384.1_NASVI	930
Cflo_13785--NA	1298
Cflo_14544--NA	319
Cflo_00887--NA	1461
Cflo_00899--NA	321
Cflo_00900--NA	729
Cflo_00929--NA	1715
Cflo_00930--XP_624460.2_APIME	1817
Cflo_00864--NA	598
Cflo_00933--NA	1312
Cflo_00934--NA	889
Cflo_00936--NA	973
Cflo_00937--NA	846
Cflo_00871--NA	689
Cflo_00872--NA	1882
Cflo_00873--NA	784
Cflo_00878--NA	257
Cflo_00880--NA	608
Cflo_00881--NA	1975
Cflo_02305--NA	1422
Cflo_02267--NA	1354
Cflo_02268--NA	1097
Cflo_02271--NA	893
Cflo_02885--NA	1282
Cflo_02869--NA	1023
Cflo_02872--NA	676
Cflo_02873--NA	1352
Cflo_02874--NA	819
Cflo_02875--NA	1099
Cflo_02879--NA	1296
Cflo_02880--NA	443
Cflo_03364--XP_001122936.1_APIME	826
Cflo_03380--NA	542
Cflo_03597--NA	1017
Cflo_03598--NA	1325
Cflo_03599--NA	1466
Cflo_03600--NA	1582
Cflo_03588--NA	813
Cflo_03589--NA	1078
Cflo_03593--XP_001606023.1_NASVI	1102
Cflo_03595--NA	2314
Cflo_03140--NA	1141
Cflo_03141--NA	578
Cflo_03142--NA	985
Cflo_03143--NA	975
Cflo_03150--NA	331
Cflo_03156--NA	799
Cflo_02676--NA	520
Cflo_02677--NA	1353
Cflo_02671--NA	879
Cflo_02672--NA	503
Cflo_02673--XP_394261.3_APIME	845
Cflo_02674--NA	1162
Cflo_05152--NA	1166
Cflo_05158--NA	1342
Cflo_05159--NA	612
Cflo_05175--NA	789
Cflo_04610--XP_001121074.1_APIME	1290
Cflo_04612--NA	1435
Cflo_04613--XP_001230608.1_ANOGA	1116
Cflo_06789--NA	396
Cflo_06790--NA	502
Cflo_05604--NA	1818
Cflo_05612--NA	1130
Cflo_05447--NA	1261
Cflo_05448--XP_001600545.1_NASVI	1316
Cflo_05449--NA	1640
Cflo_04750--NA	1338
Cflo_04755--XP_393053.2_APIME	2203
Cflo_04757--NA	1280
Cflo_04749--NA	902
Cflo_06769--XP_001121029.1_APIME	2486
Cflo_06249--NA	1093
Cflo_07442--NA	479
Cflo_07445--NA	839
Cflo_08861--NA	1066
Cflo_08853--NA	536
Cflo_08670--NA	588
Cflo_08681--XP_001606745.1_NASVI	1309
Cflo_07481--NA	477
Cflo_08630--NA	322
Cflo_08631--NA	857
Cflo_08632--XP_001600391.1_NASVI	1398
Cflo_08113--NA	1459
Cflo_09169--NA	889
Cflo_08727--NA	2502
Cflo_09817--NA	772
Cflo_10731--NA	1291
Cflo_10078--NA	534
Cflo_10075--NA	837
Cflo_10564--NA	1693
Cflo_10567--NA	890
Cflo_10678--NA	1012
Cflo_10851--XP_001120154.1_APIME	2810
Cflo_09121--XP_001942607.1_ACYPI	1946
Cflo_10941--NA	1457
Cflo_12659--NA	724
Cflo_13660--NA	493
Cflo_12691--NA	1606
Cflo_13298--NA	372
Cflo_13760--NA	906
Cflo_14008--NA	857
Cflo_01069--NA	707
Cflo_01078--NA	978
Cflo_00990--NA	773
Cflo_01995--XP_001606847.1_NASVI	386
Cflo_01966--NA	520
Cflo_01969--NA	367
Cflo_02528--NA	1081
Cflo_02532--NA	1348
Cflo_02506--NA	704
Cflo_02510--NA	1391
Cflo_02513--NA	307
Cflo_02757--NA	1484
Cflo_02772--NA	1761
Cflo_02773--NA	806
Cflo_02748--NA	2023
Cflo_02751--NA	930
Cflo_02752--NA	2347
Cflo_02753--NA	797
Cflo_02755--NA	2057
Cflo_04126--NA	498
Cflo_04132--NA	511
Cflo_04150--NA	548
Cflo_04151--NA	295
Cflo_05029--NA	465
Cflo_05020--NA	401
Cflo_05025--NA	348
Cflo_05026--NA	868
Cflo_04372--NA	619
Cflo_05234--NA	1759
Cflo_05241--XP_623857.2_APIME	1168
Cflo_05244--NA	918
Cflo_05483--NA	493
Cflo_05484--NA	399
Cflo_05735--NA	1151
Cflo_05737--NA	581
Cflo_05740--NA	1378
Cflo_07141--NA	807
Cflo_07148--NA	475
Cflo_05580--NA	380
Cflo_05581--NA	420
Cflo_05578--NA	593
Cflo_05587--XP_001599730.1_NASVI	953
Cflo_05579--NA	1370
Cflo_05596--XP_391874.3_APIME	1439
Cflo_08161--NA	906
Cflo_08574--NA	590
Cflo_10094--NA	1376
Cflo_09478--NA	1580
Cflo_11168--NA	1004
Cflo_11107--NA	565
Cflo_11330--NA	739
Cflo_13271--NA	776
Cflo_13337--NA	952
Cflo_13869--NA	831
Cflo_00824--NA	823
Cflo_00826--NA	1113
Cflo_00771--NA	943
Cflo_00839--NA	1586
Cflo_00842--NA	1405
Cflo_00843--NA	1086
Cflo_00847--NA	1497
Cflo_00849--NA	1716
Cflo_00851--NA	622
Cflo_00853--NA	1289
Cflo_00857--NA	1476
Cflo_00858--NA	668
Cflo_00787--XP_392367.2_APIME	349
Cflo_01882--NA	682
Cflo_01884--NA	1215
Cflo_01885--NA	584
Cflo_01887--NA	928
Cflo_01888--NA	1279
Cflo_02071--XP_001121535.1_APIME	762
Cflo_02072--XP_001121326.1_APIME	1606
Cflo_02078--NA	354
Cflo_02080--NA	814
Cflo_02081--NA	942
Cflo_02042--NA	1787
Cflo_02043--NA	494
Cflo_03316--NA	673
Cflo_03294--NA	1541
Cflo_03202--NA	2444
Cflo_03203--NA	698
Cflo_03204--NA	579
Cflo_03177--NA	619
Cflo_03175--NA	887
Cflo_03720--NA	789
Cflo_03518--NA	827
Cflo_03520--NA	1531
Cflo_03759--NA	1086
Cflo_03761--FBpp0085553_DROME	1698
Cflo_05548--NA	1596
Cflo_05465--NA	815
Cflo_06465--NA	918
Cflo_07085--NA	730
Cflo_07086--NA	1596
Cflo_07087--NA	1180
Cflo_07088--NA	1469
Cflo_07089--NA	635
Cflo_06069--NA	555
Cflo_06075--NA	1168
Cflo_06942--NA	1169
Cflo_08485--NA	528
Cflo_08822--NA	436
Cflo_08520--NA	624
Cflo_08521--NA	918
Cflo_08519--NA	1231
Cflo_08918--NA	328
Cflo_09685--NA	1077
Cflo_09485--NA	1422
Cflo_10447--XP_397272.2_APIME	658
Cflo_09439--NA	704
Cflo_09437--NA	1628
Cflo_09443--NA	850
Cflo_10038--NA	1010
Cflo_10039--NA	1027
Cflo_10040--XP_394796.3_APIME	1949
Cflo_10247--NA	1407
Cflo_10685--XP_001122799.1_APIME	1233
Cflo_10686--NA	1826
Cflo_11185--NA	789
Cflo_12180--NA	407
Cflo_12191--XP_393388.3_APIME	771
Cflo_13174--NA	598
Cflo_12442--NA	1555
Cflo_12443--NA	230
Cflo_11844--NA	1591
Cflo_13435--NA	961
Cflo_14479--NA	660
Cflo_14639--NA	305
Cflo_15975--NA	490
Cflo_15330--NA	844
Cflo_13084--XP_394081.2_APIME	1198
Cflo_02311--NA	724
Cflo_02312--XP_623265.1_APIME	1745
Cflo_12936--NA	893
Cflo_08604--NA	1260
Cflo_00093--XP_624017.1_APIME	488
Cflo_00094--NA	463
Cflo_00095--NA	486
Cflo_00102--NA	1765
Cflo_00083--NA	1209
Cflo_05885--NA	876
Cflo_08106--NA	444
Cflo_11740--NA	450
Cflo_07930--XP_001120109.1_APIME	1082
Cflo_01171--NA	425
Cflo_07092--NA	3044
Cflo_11370--NA	449
Cflo_06236--NA	263
Cflo_11571--NA	604
Cflo_11574--NA	415
Cflo_10449--NA	358
Cflo_06425--NA	570
Cflo_15133--NA	398
Cflo_00314--NA	410
Cflo_00364--NA	465
Cflo_00369--NA	202
Cflo_12848--NA	484
Cflo_10088--NA	340
Cflo_08732--NA	761
Cflo_08178--XP_394052.3_APIME	1012
Cflo_05250--NA	846
Cflo_15036--NA	582
Cflo_05804--XP_001599331.1_NASVI	1055
Cflo_12901--NA	398
Cflo_05184--NA	241
Cflo_05185--NA	1343
Cflo_13040--NA	435
Cflo_13041--NA	659
Cflo_13437--NA	368
Cflo_00378--XP_394629.3_APIME	1153
Cflo_00379--NA	356
Cflo_00380--NA	444
Cflo_13977--NA	281
Cflo_06676--NA	2123
Cflo_08045--NA	680
Cflo_09974--NA	833
Cflo_06563--NA	401
Cflo_09412--NA	1235
Cflo_14794--NA	491
Cflo_02972--NA	425
Cflo_02976--NA	784
Cflo_03611--NA	369
Cflo_03622--NA	477
Cflo_03623--NA	1641
Cflo_03966--XP_001605475.1_NASVI	905
Cflo_03974--NA	532
Cflo_03975--XP_396660.2_APIME	1449
Cflo_06749--NA	218
Cflo_13276--NA	392
Cflo_09452--NA	2549
Cflo_10798--NA	1198
Cflo_13521--NA	1490
Cflo_11186--NA	1121
Cflo_13391--NA	266
Cflo_05217--NA	1037
Cflo_05227--XP_391948.2_APIME	385
Cflo_08898--NA	308
Cflo_02738--NA	923
Cflo_02749--NA	607
Cflo_11030--NA	519
Cflo_02922--NA	472
Cflo_07989--NA	334
Cflo_01380--XP_394454.2_APIME	3685
Cflo_01411--XP_001122814.1_APIME	1185
Cflo_15364--NA	308
Cflo_10304--NA	202
Cflo_01764--NA	415
Cflo_14619--NA	714
Cflo_12640--NA	464
Cflo_15349--NA	387
Cflo_10061--XP_001120837.1_APIME	331
Cflo_10067--XP_001120929.1_APIME	364
Cflo_00673--NA	739
Cflo_00679--NA	868
Cflo_15481--NA	310
Cflo_07684--NA	696
Cflo_03477--NA	713
Cflo_03492--NA	280
Cflo_03499--XP_001604273.1_NASVI	7533
Cflo_13219--NA	308
Cflo_02581--NA	383
Cflo_02582--NA	404
Cflo_02603--NA	577
Cflo_07557--NA	494
Cflo_14891--NA	460
Cflo_15128--NA	238
Cflo_06945--NA	347
Cflo_11378--NA	344
Cflo_06321--NA	2033
Cflo_06326--NA	483
Cflo_09486--NA	762
Cflo_09492--XP_001121280.1_APIME	1300
Cflo_07701--NA	824
Cflo_07702--NA	581
Cflo_09682--NA	337
Cflo_09684--XP_395357.3_APIME	495
Cflo_09394--NA	1305
Cflo_01883--NA	292
Cflo_06774--FBpp0078253_DROME	451
Cflo_13650--NA	1337
Cflo_00521--NA	430
Cflo_02678--XP_394261.3_APIME	1415
Cflo_08821--NA	1009
Cflo_08330--NA	344
Cflo_11272--NA	1177
Cflo_15524--XP_396268.2_APIME	507
Cflo_03721--XP_393497.3_APIME	5432
Cflo_03774--NA	862
Cflo_00845--NA	528
Cflo_08372--NP_001035320.1_APIME	1204
Cflo_01482--XP_392318.3_APIME	1084
Cflo_01486--NA	759
Cflo_01498--NA	355
Cflo_02504--NA	1104
Cflo_04199--NA	1486
Cflo_07876--NA	428
Cflo_09216--NA	516
Cflo_02864--NP_001011623.1_APIME	3228
Cflo_02870--NA	820
Cflo_02881--NA	512
Cflo_00566--NA	1365
Cflo_00568--NA	614
Cflo_00594--NA	367
Cflo_00619--NA	347
Cflo_00630--NA	738
Cflo_00633--NA	639
Cflo_01129--NA	800
Cflo_13008--NA	645
Cflo_11341--NA	620
Cflo_05770--NA	743
Cflo_02262--NA	1087
Cflo_01541--NA	304
Cflo_09231--NA	424
Cflo_11436--NA	199
